	1
828	autoren
829	bedeutung
830	bundesrat
831	china
832	computer
833	eindruck
834	eintritt
835	ermittlungen
836	essen
837	fahrer
838	firmen
839	fotos
840	franken
841	funktion
842	frderung
843	gewerkschaften
844	gewinn
845	grenze
846	groteil
847	herrn
848	hintergrund
849	homepage
850	ideen
851	insel
852	investitionen
853	jahres
854	karte
855	krankenhaus
856	landgericht
857	leistung
858	lndern
859	minuten
860	mittel
861	morgen
862	musik
863	mnner
864	mglichkeit
865	mnchen
866	netz
867	parlament
868	partner
869	publikum
870	punkt
871	region
872	rennen
873	rest
874	rckgang
875	sv
876	schaden
877	schweizer
878	staaten
879	text
880	umsetzung
881	untersttzung
882	ursache
883	vater
884	verkauf
885	verffentlichung
886	vorhaben
887	wagen
888	wahl
889	weihnachten
890	wetter
891	widerstand
892	zuschauer
893	zhler
894	allein
895	angenommen
896	arbeitet
897	automatisch
898	beendet
899	begrndet
900	beiden
901	besondere
902	bessere
903	bestehen
904	besten
905	dar
906	deutliche
907	diesmal
908	eigene
909	eingerichtet
910	eingestellt
911	einzelnen
912	elf
913	endet
914	errichtet
915	erscheint
916	erweitert
917	fahren
918	fallen
919	fordern
920	fortgesetzt
921	garantiert
922	gehalten
923	genug
924	gesamten
925	gesehen
926	gesperrt
927	gesunken
928	gewinnt
929	groes
930	insbesondere
931	jede
932	kannnicht
933	kostenlos
934	kritisiert
935	knne
936	lagen
937	leer
938	legten
939	lnger
940	meinem
941	mussten
942	neben
943	nehmen
944	neues
945	organisiert
946	per
947	profitieren
948	reicht
949	schn
950	sehe
951	seinem
952	setzte
953	spielten
954	sucht
955	teuer
956	ua
957	umgehend
958	umgesetzt
959	untersttzen
960	verlassen
961	vielen
962	vierten
963	weiteres
964	wichtiger
965	wichtigste
966	wissen
967	wchst
968	whlen
969	ziemlich
970	zhlen
971	hnlich
972	bung
973	ndern
974	bernimmt
975	bernommen
976	100
977	18
978	2000
979	2006
980	24
981	alter
982	anfrage
983	angriff
984	anmeldung
985	anschluss
986	anteil
987	antworten
988	anzahl
989	arbeitgeber
990	auflsung
991	aufstieg
992	ausstellung
993	banken
994	besuch
995	betrieb
996	bundeswehr
997	brgermeister
998	chancen
999	daher
1000	daneben
1001	dank
1002	diestadt
1003	dokumente
1004	einladung
1005	erlebnis
1006	erwartungen
1007	familien
1008	feuerwehr
1009	finanzierung
1010	folgen
1011	frauen
1012	fuball
1013	fllen
1014	fhrung
1015	gesprche
1016	gewinner
1017	gleichzeitig
1018	gott
1019	gre
1020	hamburg
1021	handel
1022	hannover
1023	herr
1024	humor
1025	huser
1026	information
1027	interessenten
1028	job
1029	konzept
1030	kurs
1031	kndigung
1032	lage
1033	licht
1034	lieferung
1035	linie
1036	links
1037	manchmal
1038	medien
1039	merkel
1040	michael
1041	minute
1042	mio
1043	mittelpunkt
1044	montag
1045	mdchen
1046	papiere
1047	patienten
1048	pflanzen
1049	rahmen
1050	rede
1051	regelungen
1052	reihe
1053	robert
1054	saison
1055	sitzung
1056	sohn
1057	staat
1058	staatsanwaltschaft
1059	stattdessen
1060	stimmen
1061	teile
1062	telefon
1063	tiere
1064	turm
1065	tr
1066	universitt
1067	verantwortung
1068	verhalten
1069	verkehr
1070	verletzungen
1071	vorjahr
1072	vorsitzende
1073	vorteile
1074	wann
1075	wasser
1076	weiterbildung
1077	wenn
1078	wind
1079	wnsche
1080	zusammenhang
1081	aktuelle
1082	angekndigt
1083	aufgebaut
1084	aufgenommen
1085	ausgesprochen
1086	ausschlielich
1087	behandelt
1088	belohnt
1089	bercksichtigt
1090	besttigt
1091	bieten
1092	biszu
1093	brach
1094	bringt
1095	daraufhin
1096	dargestellt
1097	dient
1098	einfacher
1099	eng
1100	entschieden
1101	entsprechend
1102	entstanden
1103	erfolgte
1104	erfordert
1105	erfllt
1106	ergibt
1107	erhoben
1108	erledigt
1109	erstellt
1110	europischen
1111	fehlen
1112	folgenden
1113	gefragt
1114	gefhrlich
1115	gefrdert
1116	gelegt
1117	gelungen
1118	gemeinsam
1119	gemeinsame
1120	genau
1121	gesetzt
1122	gespielt
1123	gesucht
1124	gewannen
1125	gewisse
1126	gewhlt
1127	grten
1128	habensie
1129	hervor
1130	hohe
1131	hngt
1132	htte
1133	hheren
1134	hren
1135	je
1136	jedem
1137	kennt
1138	klare
1139	kleiner
1140	kletterte
1141	klingt
1142	knapp
1143	komme
1144	kndigte
1145	lang
1146	lediglich
1147	legen
1148	lehnte
1149	meinen
1150	nahezu
1151	nahmen
1152	neuer
1153	nocheine
1154	oben
1155	positiven
1156	praktisch
1157	prallte
1158	rechnet
1159	reduziert
1160	richten
1161	sank
1162	schlecht
1163	schloss
1164	schlug
1165	schreibt
1166	schriftlich
1167	schwarzen
1168	schne
1169	setzen
1170	sinnvoll
1171	solle
1172	sorgt
1173	starke
1174	steckt
1175	stiegen
1176	stndig
1177	tolle
1178	trifft
1179	tritt
1180	verfgt
1181	vergessen
1182	verstrkt
1183	vorbereitet
1184	vorher
1185	wartet
1186	willkommen
1187	zerstrt
1188	ziehen
1189	zustndige
1190	berraschung
1191	150
1192	16
1193	17
1194	2002
1195	2007
1196	400
1197	500
1198	700
1199	9
1200	ag
1201	abschied
1202	alternative
1203	anforderungen
1204	anleger
1205	ansonsten
1206	aspekte
1207	aufbau
1208	aufnahme
1209	auftritt
1210	ausbau
1211	auseinandersetzung
1212	ausnahme
1213	band
1214	bedarf
1215	beratung
1216	berechnung
1217	beschluss
1218	beschreibung
1219	beschwerde
1220	bett
1221	beute
1222	bewegung
1223	boot
1224	browser
1225	danke
1226	daraus
1227	darunter
1228	darber
1229	dasneue
1230	datum
1231	demonstrationen
1232	dieentscheidung
1233	diefrau
1234	dinge
1235	dokumentation
1236	dorf
1237	download
1238	dr
1239	eukommission
1240	ebenso
1241	ehe
1242	einstieg
1243	einzelhandel
1244	eis
1245	endedes
1246	energie
1247	erde
1248	erfahrung
1249	erholung
1250	fahrt
1251	fahrzeug
1252	fahrzeugen
1253	farben
1254	fehler
1255	feld
1256	fokus
1257	forderung
1258	formen
1259	forschung
1260	frank
1261	gebhren
1262	gegner
1263	gesamtschaden
1264	gesicht
1265	gestndnis
1266	gesundheit
1267	gewalt
1268	gewerkschaft
1269	gleichwohl
1270	grundlage
1271	gste
1272	herausforderung
1273	herz
1274	himmel
1275	hinweise
1276	hoffnung
1277	hotel
1278	hnde
1279	idee
1280	immerhin
1281	index
1282	infos
1283	investoren
1284	jedes
1285	juli
1286	jungen
1287	jrgen
1288	kampf
1289	karten
1290	kauf
1291	kenntnisse
1292	kilometer
1293	klasse
1294	kraft
1295	kreuz
1296	krieg
1297	krise
1298	kursziel
1299	krper
1300	krze
1301	lehrer
1302	london
1303	lnder
1304	menge
1305	metern
1306	monat
1307	motiv
1308	motor
1309	mrd
1310	mglichkeiten
1311	mller
1312	nachfrage
1313	nationen
1314	natur
1315	opposition
1316	plus
1317	post
1318	produkt
1319	produktion
1320	prognosen
1321	realitt
1322	richter
1323	russland
1324	schluss
1325	seitdem
1326	serie
1327	sieg
1328	sonst
1329	sport
1330	standort
1331	start
1332	stellungnahme
1333	stiftung
1334	stimmung
1335	strecke
1336	studie
1337	tabelle
1338	tat
1339	teams
1340	teilnahme
1341	tempo
1342	termin
1343	themen
1344	thomas
1345	tips
1346	tod
1347	tor
1348	trainer
1349	trennung
1350	usa
1351	unglck
1352	union
1353	unterschiede
1354	variante
1355	vereinten
1356	vereintennationen
1357	vergleich
1358	verlag
1359	verlngerung
1360	verwaltung
1361	vorgang
1362	vorwurf
1363	wald
1364	wechsel
1365	wirtschaft
1366	wochenende
1367	wolfgang
1368	wort
1369	zellen
1370	zugang
1371	zuletzt
1372	zuwachs
1373	zhlern
1374	abgelehnt
1375	aktualisiert
1376	alt
1377	angemeldet
1378	angesagt
1379	angestrebt
1380	auchnicht
1381	aufgegeben
1382	ausgelst
1383	ausgestattet
1384	auerhalb
1385	bedroht
1386	befinden
1387	begeistert
1388	begrenzt
1389	benannt
1390	bereit
1391	bereitgestellt
1392	berichtet
1393	beschlossen
1394	besitzen
1395	beste
1396	betrage
1397	betreibt
1398	brachte
1399	bricht
1400	dass
1401	dauern
1402	denke
1403	denken
1404	deutscher
1405	droht
1406	durchaus
1407	ev
1408	ehemalige
1409	eher
1410	eingeladen
1411	eingeleitet
1412	eingesetzt
1413	einzige
1414	elektronische
1415	enthalten
1416	erauch
1417	erfasst
1418	erfolgen
1419	erfolgreich
1420	ergeben
1421	erheblich
1422	erleichtert
1423	ermglichen
1424	erffnet
1425	falsche
1426	falschen
1427	fanden
1428	fehlte
1429	festgehalten
1430	finanziert
1431	folgende
1432	formuliert
1433	fhrte
1434	gebaut
1435	gebracht
1436	geeignet
1437	gefallen
1438	gefhrt
1439	gegangen
1440	gehtweiter
1441	gekommen
1442	gelte
1443	geprgt
1444	geschaffen
1445	geschieht
1446	geschrieben
1447	gestaltet
1448	gestartet
1449	gezeigt
1450	giltals
1451	grundstzlich
1452	halten
1453	handelt
1454	heraus
1455	heutige
1456	hilfreich
1457	historischen
1458	hchste
1459	hhere
1460	inkrze
1461	informiert
1462	integriert
1463	interessante
1464	interessiert
1465	internationale
1466	jhrlich
1467	komplette
1468	konkreten
1469	kostete
1470	langsam
1471	lautet
1472	lebt
1473	lesen
1474	lieben
1475	lngst
1476	mitten
1477	modernen
1478	mute
1479	mchten
1480	mglichst
1481	mten
1482	nennen
1483	nochmehr
1484	notwendigen
1485	nutzen
1486	nher
1487	ntig
1488	offen
1489	ohnehin
1490	passen
1491	perfekt
1492	plant
1493	politischen
1494	positiv
1495	raus
1496	reagiert
1497	reagierte
1498	reine
1499	russische
1500	schaffen
1501	schaut
1502	schlechten
1503	schnelle
1504	schwere
1505	schwierig
1506	sozialen
1507	starten
1508	steigen
1509	stimmt
1510	stimmte
1511	streng
1512	strker
1513	technischen
1514	trgt
1515	tut
1516	umstritten
1517	unserem
1518	unterschiedlich
1519	unverndert
1520	verbunden
1521	verliehen
1522	verliert
1523	verlngert
1524	verschoben
1525	vertreten
1526	verffentlicht
1527	vollstndig
1528	vorallem
1529	vorerst
1530	vorhanden
1531	vorsichtig
1532	warnicht
1533	warnte
1534	wechseln
1535	wei
1536	weltweit
1537	wesentlich
1538	wolle
1539	zeigen
1540	zugnglich
1541	zumindest
1542	zwlf
1543	bersicht
1544	berprft
1545	05
1546	07
1547	01
1548	10000
1549	120
1550	19jahrhundert
1551	1990
1552	1995
1553	1997
1554	20uhr
1555	2005
1556	2009
1557	22
1558	25
1559	300
1560	32
1561	38
1562	41
1563	600
1564	abitur
1565	absatz
1566	aktivitten
1567	alltag
1568	andreas
1569	anerkennung
1570	angeklagten
1571	angela
1572	angelamerkel
1573	ankunft
1574	anna
1575	anspruch
1576	anstieg
1577	arbeitnehmer
1578	arbeitslosenquote
1579	arbeitslosigkeit
1580	arm
1581	auge
1582	ausgleich
1583	ausma
1584	aussage
1585	autofahrer
1586	autorin
1587	autos
1588	beamten
1589	bedingungen
1590	behrden
1591	berichte
1592	beschftigten
1593	betreuung
1594	bildung
1595	boden
1596	brand
1597	bundesland
1598	bcher
1599	bhne
1600	cdu
1601	chef
1602	christian
1603	darauf
1604	dasauto
1605	dauer
1606	debatte
1607	deren
1608	dialog
1609	diegrnen
1610	diezeit
1611	drittel
1612	ebene
1613	entscheidungen
1614	erls
1615	ermittler
1616	farbe
1617	fenster
1618	ferner
1619	feuer
1620	finale
1621	finanzkrise
1622	fischer
1623	flug
1624	flche
1625	forderungen
1626	fortschritte
1627	frankreich
1628	freien
1629	funktionen
1630	garten
1631	gedanken
1632	gefhl
1633	gegenstand
1634	gegenwart
1635	gesetzentwurf
1636	gesetzgeber
1637	gewinne
1638	gremien
1639	grenzen
1640	gutachten
1641	halle
1642	hauptgrund
1643	heinz
1644	herzlich
1645	hierfr
1646	hierzu
1647	hinzukommt
1648	hund
1649	hunde
1650	hlfte
1651	hhepunkt
1652	inderregel
1653	inhaber
1654	irgendwann
1655	jan
1656	julia
1657	kamera
1658	kanzlerin
1659	karlsruhe
1660	kind
1661	klaus
1662	klicken
1663	klinik
1664	koch
1665	kommentar
1666	kommentare
1667	kommission
1668	kommunikation
1669	komponenten
1670	konsequenzen
1671	konzern
1672	kreativitt
1673	kreise
1674	kripo
1675	kriterien
1676	kufer
1677	krperverletzung
1678	kche
1679	landesregierung
1680	laune
1681	leiche
1682	leipzig
1683	liga
1684	linken
1685	literatur
1686	manche
1687	manfred
1688	marktanteil
1689	manahme
1690	meter
1691	mitglied
1692	mitgliedschaft
1693	moment
1694	monaten
1695	museum
1696	mrder
1697	nachricht
1698	niederlage
1699	noten
1700	nutzer
1701	nhe
1702	offensive
1703	olympischen
1704	papier
1705	parkplatz
1706	partie
1707	perspektiven
1708	planung
1709	pltzlich
1710	promille
1711	proze
1712	prsentation
1713	prsident
1714	punkten
1715	rat
1716	rauchen
1717	rechnung
1718	reform
1719	regeln
1720	regie
1721	regionen
1722	reihenfolge
1723	reise
1724	renate
1725	rendite
1726	schatten
1727	schiff
1728	schutz
1729	schweden
1730	senat
1731	sicherheit
1732	signale
1733	sommer
1734	spaziergang
1735	spiele
1736	stationen
1737	stefan
1738	steigerung
1739	strategie
1740	studenten
1741	stunde
1742	stuttgarter
1743	summe
1744	systeme
1745	systems
1746	szene
1747	techniker
1748	telekom
1749	temperatur
1750	temperaturen
1751	texte
1752	tokio
1753	ton
1754	tore
1755	traum
1756	treffen
1757	trend
1758	trger
1759	usdollar
1760	usd
1761	unternehmens
1762	untersuchungen
1763	urlaub
1764	verband
1765	verbindung
1766	verhandlungen
1767	vertrag
1768	vielfalt
1769	volk
1770	volkswirte
1771	voraussetzung
1772	vorsitzender
1773	vorstand
1774	vorstellung
1775	wahrheit
1776	wand
1777	wege
1778	weite
1779	woher
1780	yen
1781	zahn
1782	zeiten
1783	zeitung
1784	zugriff
1785	zustand
1786	zustimmung
1787	abgeliefert
1788	aktiv
1789	aktuell
1790	akzeptiert
1791	alten
1792	amerikanische
1793	amerikanischen
1794	angebracht
1795	angeschlossen
1796	angesetzt
1797	aufdersuche
1798	aufnehmen
1799	ausdrcklich
1800	ausgebaut
1801	ausgezeichnete
1802	beachten
1803	beantragt
1804	begrte
1805	beispielsweise
1806	bekam
1807	bentigt
1808	beschrieben
1809	beschdigt
1810	beseitigt
1811	besitzt
1812	bestehenden
1813	bestimmten
1814	betrachtet
1815	betragen
1816	betreut
1817	betrieben
1818	bevorzugt
1819	bezeichnet
1820	beziffert
1821	bist
1822	bleibe
1823	breit
1824	bringen
1825	bunte
1826	darfnicht
1827	dauerte
1828	deutlicher
1829	dokumentiert
1830	dringend
1831	dritte
1832	drohen
1833	drften
1834	echt
1835	egal
1836	eigentliche
1837	einzeln
1838	elektronischen
1839	entlang
1840	entnehmen
1841	entstandene
1842	entstehen
1843	ereignete
1844	erfahren
1845	erkannt
1846	erlaubt
1847	erlitt
1848	ermitteln
1849	erreichte
1850	erstattet
1851	erster
1852	erteilt
1853	erwarten
1854	fehlten
1855	festgelegt
1856	festgestellt
1857	finanzielle
1858	finanziellen
1859	freilich
1860	freiwillig
1861	fuhr
1862	frchten
1863	galt
1864	garnicht
1865	geblieben
1866	gebraucht
1867	gebunden
1868	gefllt
1869	gehandelt
1870	geholfen
1871	geklrt
1872	gemeldet
1873	genannt
1874	genannten
1875	generell
1876	genommen
1877	gengt
1878	geprft
1879	gescheitert
1880	gesetzlichen
1881	gesund
1882	getan
1883	getestet
1884	getroffen
1885	gezogen
1886	gibts
1887	glauben
1888	grer
1889	grere
1890	grne
1891	gnstig
1892	gnstigen
1893	halt
1894	heiratete
1895	hergestellt
1896	hinaus
1897	hrter
1898	hrte
1899	immernoch
1900	insicht
1901	indennchstentagen
1902	individuell
1903	jederzeit
1904	kannst
1905	kaufen
1906	keineswegs
1907	konnten
1908	kontrolliert
1909	kritisierte
1910	kmpfen
1911	knnten
1912	langjhrige
1913	legt
1914	leichtverletzt
1915	leichte
1916	liefert
1917	lt
1918	m
1919	mache
1920	massiv
1921	mehrmals
1922	meistens
1923	mchte
1924	msste
1925	nachfolgenden
1926	nehme
1927	nennt
1928	nichtnur
1929	nichtvor
1930	normale
1931	nmlich
1932	passieren
1933	persnliche
1934	privaten
1935	prsentieren
1936	rasch
1937	reagierten
1938	regelmige
1939	rein
1940	richtet
1941	sagen
1942	sahen
1943	sa
1944	schade
1945	schliet
1946	schlgt
1947	schriftliche
1948	schweren
1949	schnen
1950	schnsten
1951	seines
1952	selber
1953	selbstverstndlich
1954	sichergestellt
1955	sicherlich
1956	sindnicht
1957	sorgenfr
1958	sowie
1959	soziale
1960	spezielle
1961	sprechen
1962	stehe
1963	still
1964	stoppen
1965	stt
1966	smtliche
1967	tief
1968	tiefe
1969	toll
1970	total
1971	tragen
1972	treten
1973	trotz
1974	typische
1975	ttig
1976	umfasst
1977	umfat
1978	unten
1979	unterschiedliche
1980	verabschiedet
1981	verantwortlich
1982	verboten
1983	verfgbar
1984	verhindert
1985	verlor
1986	vermieden
1987	verzichten
1988	verzichtet
1989	vielmehr
1990	voran
1991	warnt
1992	weitergeleitet
1993	weitgehend
1994	wenige
1995	wichtig
1996	wiederholt
1997	wirauch
1998	wirft
1999	wnschen
2000	zeigten
2001	zugeordnet
2002	zugestimmt
2003	zulssig
2004	zurzeit
2005	zweiwochen
2006	zweiter
2007	ffentlichkeit
2008	berlegungen
2009	uerte
2010	ffentlichen
2011	berall
2012	bertragen
2013	berwiegend
2014	berzeugt
2015	02
2016	03
2017	06
2018	08
2019	1230
2020	15uhr
2021	15000
2022	1947
2023	1978
2024	1983
2025	1994
2026	2010
2027	29
2028	31
2029	33
2030	350
2031	5000
2032	58
2033	75
2034	70
2035	80
2036	85
2037	abbildung
2038	abends
2039	absage
2040	abschluss
2041	abstimmung
2042	afghanistan
2043	akademie
2044	aktionen
2045	alkohol
2046	altstadt
2047	amanfang
2048	amtszeit
2049	anfragen
2050	angeblich
